gamma_mr,gamma_mc,ie_over_iw,in_over_ie,d_ie_iw_dlog_mr,d_ie_iw_dlog_mc,d_in_ie_dlog_mr,d_in_ie_dlog_mc,det_j,abs_det_j,cond_j,good_invertibility,good_condition,good_both
0.0295,0.494,3.7827857044976705,1.6546702698523512,-0.037499369651822205,-0.19247797482525758,-0.023061597605277012,-0.24094217750752348,0.0045963301757708545,0.0045963301757708545,21.06479307730398,1,0,0
0.0295,0.655,3.7572650565594143,1.6220823330716236,-0.03555940061773542,-0.22342439524641228,-0.021630074832472226,-0.2939263103363838,0.005619157032764549,0.005619157032764549,24.525806020756097,1,0,0
0.0295,0.869,3.7279813028496105,1.5825722541059433,-0.03339607977221768,-0.2508758375641172,-0.019913916464498884,-0.35277370824411364,0.006785338429848444,0.006785338429848444,27.803446002686847,1,0,0
0.0295,1.15,3.695936817248114,1.5358444928236545,-0.03125320415304275,-0.29124361252652914,-0.017801888137810865,-0.40860061492177907,0.007585392224159965,0.007585392224159965,33.332938153566865,1,0,0
0.0295,1.53,3.6564310027358338,1.4821906650619467,-0.0023970742640514026,-0.26498994432890344,-0.015432573843018346,-0.4610071134171364,-0.0029844085963962787,0.0029844085963962787,94.81264159099167,1,0,0
0.0295,2.02,3.631106092193887,1.4230574755891696,-0.026359004473707568,-0.21529829653152716,-0.013470724286444033,-0.500269933562603,0.010286393424920767,0.010286393424920767,28.88704699526784,1,0,0
0.0295,2.68,3.6040180613345587,1.360403269922028,-0.024311545045855507,-0.2034446545404077,-0.011162758477381943,-0.5110378364482822,0.010153115838799973,0.010153115838799973,29.835644486796582,1,0,0
0.0295,3.56,3.581038641730496,1.2972917649142246,-0.023218584661494682,-0.09666268406768674,-0.009178261483833513,-0.5021944473565125,0.010773048902377305,0.010773048902377305,24.294221829571743,1,0,0
0.0295,4.71,3.5803467123513992,1.2374228236884353,-0.021744574987722642,0.023668462153060392,-0.0070742203408524626,-0.46560360933110223,0.010291788514054347,0.010291788514054347,21.121939312085914,1,0,0
0.0295,6.25,3.586823924393055,1.1834842656661226,-0.02201852099607264,0.1392803312135917,-0.005619790150158056,-0.4058547446363969,0.0097190474495971,0.0097190474495971,18.94428950742401,1,0,0
