gamma_mr,gamma_mc,i_east,i_north,ie_over_in
0.0309,1.93,0.02494820930434362,0.03282251212449683,0.7600944501052894
0.0309,2.33,0.02560903241956504,0.03296087666687508,0.776952405677411
0.0309,2.81,0.02637991239457176,0.03325512338105013,0.7932585933391517
0.0309,3.39,0.02721774933912869,0.0336361079717305,0.8091824821707634
0.0309,4.09,0.02817773707805043,0.03419308872813537,0.8240769736272676
0.0309,4.94,0.02927836679678269,0.03494736953173444,0.8377845654505145
0.0309,5.96,0.03050226326506257,0.03586445186626504,0.8504873677925558
0.0309,7.2,0.03185802091077783,0.03694872064719166,0.8622225709782253
0.0309,8.69,0.03342256792979625,0.03829770573971136,0.8727041812099982
0.0309,10.5,0.03513726807187652,0.03981841508270783,0.8824376359252879
0.0309,12.6,0.03699510217737664,0.04149521016777451,0.8915511459707539
0.0309,15.3,0.03904632282850876,0.04338931690442548,0.8999063736015223
0.0309,18.4,0.04129223648925464,0.04549755656973217,0.9075704192151018
0.0309,22.2,0.04363456109380838,0.04769133769312238,0.9149368251019088
0.0309,26.8,0.04601863314307065,0.04990477480631512,0.9221288608489481
0.0309,32.4,0.048598734364957,0.05234462621215267,0.9284378909878241
0.0309,39.1,0.05105992308147288,0.05461401871441989,0.9349233820068873
0.0309,47.1,0.05371413691016011,0.05712364103555378,0.9403136063530755
0.0309,56.9,0.05609219906758925,0.05928926580538269,0.946076803374698
0.0309,68.7,0.05871739287128475,0.06178051489504149,0.9504192862594193
0.0309,82.90000000000001,0.06110525750573623,0.06399995620226337,0.9547703019142884
0.0309,100,0.0630699911165067,0.06573514916181178,0.9594561193016448
0.0373,0.01,0.02038805585895473,0.03380079060920591,0.6031828099725539
0.0373,0.0121,0.02039576682257494,0.03379702248209929,0.6034782156735148
0.0373,0.0146,0.02040393460951278,0.0337915846644768,0.6038170394229038
0.0373,0.0176,0.020413533937841,0.03378486256825706,0.6042213105528736
0.0373,0.0212,0.020426351642424,0.03377776490829357,0.6047277461336303
0.0373,0.0256,0.02044112114539979,0.03376872450675764,0.6053270132044583
0.0373,0.0309,0.02045929009555121,0.03375819242141571,0.6060540754122882
0.0373,0.0373,0.02048176394623935,0.03374605847033373,0.6069379617843349
0.0373,0.045,0.02051119372236098,0.03373338404932083,0.6080384254473854
0.0373,0.0543,0.02054389640453855,0.03371631740768379,0.6093161407911261
0.0373,0.0655,0.02058217856768993,0.0336951878900757,0.6108343611211033
0.0373,0.0791,0.02062726271233988,0.03366945221071209,0.6126402824509638
0.0373,0.0954,0.02068098672455036,0.03363878142660524,0.6147959541778634
0.0373,0.115,0.02074515783714962,0.03360262084002143,0.6173672564385724
0.0373,0.139,0.02082161823101873,0.03356010652779768,0.6204276560854263
0.0373,0.168,0.02091254074419924,0.03351045770398169,0.6240601345685121
0.0373,0.202,0.02102034874395969,0.03345288271875149,0.6283568719827263
0.0373,0.244,0.02114777720884442,0.03338671975606448,0.6334188372909278
0.0373,0.295,0.02129787585385855,0.03331156326397393,0.6393538389383231
0.0373,0.356,0.02147396305184585,0.03322742162691016,0.6462723257002448
0.0373,0.429,0.02167962838851608,0.03313498645400936,0.6542820960137387
0.0373,0.518,0.02191867708805945,0.03303594118265198,0.6634797224899259
0.0373,0.625,0.02219509400527391,0.03293336665071597,0.6739394195762063
0.0373,0.754,0.02251300207035402,0.03283219614562724,0.6856989392515072
0.0373,0.91,0.02287666043592644,0.03273970227188786,0.6987436918621469
0.0373,1.1,0.02330174035924862,0.03268896142991225,0.712832079697895
0.0373,1.33,0.02375909163866086,0.03262367402576091,0.7282776188819128
0.0373,1.6,0.02428797562006482,0.03262956439110305,0.7443548840844258
0.0373,1.93,0.02489564678677407,0.03272448039898034,0.7607652278430003
0.0373,2.33,0.02555215168024816,0.03286269751253373,0.7775427342963143
0.0373,2.81,0.02631808211550832,0.03315568668212945,0.7937727958351553
0.0373,3.39,0.02715043763825246,0.03353456232021575,0.8096255254205382
0.0373,4.09,0.02810409379239892,0.03408804973215786,0.8244559020895285
